Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2000-01-03,3.4785,111.938,0.0,1.0,112.5,101.688,104.875,133949200.0
2000-01-04,3.1852,102.5,0.0,1.0,110.625,101.188,108.25,128094400.0
2000-01-05,3.2318,104.0,0.0,1.0,110.563,103.0,103.75,194580400.0
2000-01-06,2.9521,95.0,0.0,1.0,107.0,95.0,106.1183,191993200.0
2000-01-07,3.092,99.5,0.0,1.0,101.0,95.5,96.5,115183600.0
2000-01-10,3.0376,97.75,0.0,1.0,102.25,94.75,102.0,126266000.0
2000-01-11,2.8822,92.75,0.0,1.0,99.375,90.5,95.938,110387200.0
2000-01-12,2.7094,87.188,0.0,1.0,95.5012,86.5,95.0,244017200.0
2000-01-13,3.0065,96.75,0.0,1.0,98.75,92.5,94.484,258171200.0
2000-01-14,3.1211,100.438,0.0,1.0,102.25,99.375,100.0,97594000.0
2000-01-18,3.2299,103.938,0.0,1.0,106.0,100.438,101.0,114794400.0
2000-01-19,3.3114,106.563,0.0,1.0,108.75,103.375,105.625,149410800.0
2000-01-20,3.527,113.5,0.0,1.0,121.5,113.5,115.5,457783200.0
2000-01-21,3.459,111.313,0.0,1.0,114.25,110.188,114.25,123981200.0
2000-01-24,3.3017,106.25,0.0,1.0,112.75,105.1315,108.438,110219200.0
2000-01-25,3.4882,112.25,0.0,1.0,113.125,102.375,105.0,124286400.0
2000-01-26,3.4241,110.188,0.0,1.0,114.188,109.75,110.0,91789600.0
2000-01-27,3.4183,110.0,0.0,1.0,113.0,107.0,108.8097,85036000.0
2000-01-28,3.158,101.625,0.0,1.0,110.875,100.625,108.188,105837200.0
2000-01-31,3.224,103.75,0.0,1.0,103.875,94.4979,101.0,175420000.0
2000-02-01,3.1153,100.25,0.0,1.0,105.0,100.0,104.0,79508800.0
2000-02-02,3.0706,98.813,0.0,1.0,102.125,97.0,100.75,116048800.0
2000-02-03,3.2104,103.313,0.0,1.0,104.25,100.25,100.313,118798400.0
2000-02-04,3.3561,108.0,0.0,1.0,110.0,103.625,103.938,106330000.0
2000-02-07,3.5445,114.063,0.0,1.0,114.25,105.938,108.0038,110266800.0
2000-02-08,3.5697,114.875,0.0,1.0,116.125,111.25,114.0,102160800.0
2000-02-09,3.4998,112.625,0.0,1.0,117.125,112.438,114.125,74841200.0
2000-02-10,3.527,113.5,0.0,1.0,113.875,109.125,112.875,75745600.0
2000-02-11,3.3794,108.75,0.0,1.0,114.125,108.25,113.625,53062800.0
2000-02-14,3.5989,115.813,0.0,1.0,115.875,108.6204,109.313,91884800.0
2000-02-15,3.6979,119.0,0.0,1.0,119.938,115.188,115.25,121436000.0
2000-02-16,3.5464,114.125,0.0,1.0,118.125,112.125,117.746,94561600.0
2000-02-17,3.5697,114.875,0.0,1.0,115.5,113.125,115.188,72374400.0
2000-02-18,3.4571,111.25,0.0,1.0,115.375,110.875,114.625,58360400.0
2000-02-22,3.5367,113.813,0.0,1.0,116.938,106.688,110.125,105574000.0
2000-02-23,3.6125,116.25,0.0,1.0,119.0,111.0,113.234,118274800.0
2000-02-24,3.5799,115.203,0.0,1.0,119.1278,111.75,117.313,94108000.0
2000-02-25,3.4299,110.375,0.0,1.0,117.0,110.125,114.813,62286000.0
2000-02-28,3.5192,113.25,0.0,1.0,115.0,108.3745,110.125,82082000.0
