Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2000-01-03,20.0644,28.844,0.0,1.0,29.484,28.688,29.484,82800.0
2000-01-04,19.5101,28.047,0.0,1.0,28.609,27.9393,28.469,146900.0
2000-01-05,19.4232,27.922,0.0,1.0,28.125,27.719,28.0,129200.0
2000-01-06,19.684,28.297,0.0,1.0,28.375,27.813,27.922,54000.0
2000-01-07,20.434,29.375,0.0,1.0,29.375,28.625,28.625,32900.0
2000-01-10,20.434,29.375,0.0,1.0,29.625,29.281,29.531,122500.0
2000-01-11,20.1731,29.0,0.0,1.0,29.469,29.0,29.469,109800.0
2000-01-12,19.934,28.656,0.0,1.0,28.922,28.656,28.922,39900.0
2000-01-13,20.3144,29.203,0.0,1.0,29.266,28.844,29.0624,189700.0
2000-01-14,20.1731,29.0,0.0,1.0,29.297,28.891,29.281,5700.0
2000-01-18,20.1514,28.969,0.0,1.0,29.094,28.766,28.781,83600.0
2000-01-19,20.0862,28.875,0.0,1.0,29.031,28.875,29.0002,62800.0
2000-01-20,19.9558,28.688,0.0,1.0,29.0,28.375,29.0,49600.0
2000-01-21,19.7058,28.328,0.0,1.0,28.766,28.328,28.656,45700.0
2000-01-24,19.1406,27.516,0.0,1.0,28.547,27.5,28.516,51600.0
2000-01-25,19.0319,27.359,0.0,1.0,27.3918,26.813,27.156,89700.0
2000-01-26,19.184,27.578,0.0,1.0,27.75,26.266,27.266,93400.0
2000-01-27,19.2927,27.734,0.0,1.0,28.281,27.641,27.641,156000.0
2000-01-28,18.7819,27.0,0.0,1.0,27.7337,27.0,27.625,17600.0
2000-01-31,18.9123,27.188,0.0,1.0,27.297,26.859,26.859,45700.0
2000-02-01,18.7819,27.0,0.0,1.0,27.156,26.906,27.156,5500.0
2000-02-02,18.7928,27.016,0.0,1.0,27.234,26.875,27.234,3500.0
2000-02-03,18.7819,27.0,0.0,1.0,27.156,26.75,27.125,107900.0
2000-02-04,18.858,27.109,0.0,1.0,27.297,27.063,27.2963,31400.0
2000-02-07,18.5319,26.641,0.0,1.0,26.938,26.5,26.938,43800.0
2000-02-08,18.608,26.75,0.0,1.0,27.094,26.703,27.094,119600.0
2000-02-09,18.4123,26.469,0.0,1.0,26.734,26.375,26.734,58400.0
2000-02-10,18.0971,26.016,0.0,1.0,26.375,26.0,26.313,65200.0
2000-02-11,17.7167,25.469,0.0,1.0,26.063,25.328,26.063,50400.0
2000-02-14,17.9993,25.875,0.0,1.0,25.906,25.453,25.5,4900.0
2000-02-15,18.3145,26.328,0.0,1.0,26.578,25.813,25.922,21200.0
2000-02-16,18.271,26.266,0.0,1.0,26.453,26.156,26.422,77400.0
2000-02-17,18.3471,26.375,0.0,1.0,26.438,26.141,26.375,16400.0
2000-02-18,17.945,25.797,0.0,1.0,26.5,25.703,26.484,115300.0
2000-02-22,18.2384,26.219,0.0,1.0,26.25,25.797,26.25,46900.0
2000-02-23,18.0971,26.016,0.0,1.0,26.391,26.016,26.391,63100.0
2000-02-24,17.9341,25.781,0.0,1.0,26.0,25.422,26.0,19500.0
2000-02-25,17.6189,25.328,0.0,1.0,25.828,25.297,25.719,26700.0
2000-02-28,17.6732,25.406,0.0,1.0,25.813,25.0,25.422,463900.0
2000-02-29,17.8689,25.688,0.0,1.0,25.75,25.579,25.625,9100.0
2000-03-01,17.7711,25.547,0.0,1.0,25.906,25.5,25.703,2408000.0
2000-03-02,17.8363,25.641,0.0,1.0,25.813,25.406,25.781,421400.0
2000-03-03,18.3254,26.344,0.0,1.0,26.609,26.016,26.031,41200.0
2000-03-06,18.2493,26.234,0.0,1.0,26.484,26.016,26.25,292100.0
2000-03-07,17.5211,25.188,0.0,1.0,26.453,25.188,26.453,50300.0
2000-03-08,17.7058,25.453,0.0,1.0,25.453,25.0,25.141,350700.0
2000-03-09,17.8906,25.719,0.0,1.0,25.859,25.188,25.5,30400.0
2000-03-10,17.9341,25.781,0.0,1.0,26.25,25.734,25.9364,114200.0
2000-03-13,17.6624,25.391,0.0,1.0,25.703,25.172,25.172,86600.0
2000-03-14,17.5645,25.25,0.0,1.0,25.75,25.172,25.75,38600.0
2000-03-15,18.271,26.266,0.0,1.0,26.344,24.906,24.938,121300.0
2000-03-16,19.2601,27.734,0.0,1.0,27.734,26.313,26.313,281000.0
2000-03-17,19.2345,27.594,0.057,1.0,28.125,27.391,27.798,34400.0
