Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2000-01-03,13.4984,27.453,0.0,1.0,28.938,27.219,27.9385,176700.0
2000-01-04,13.0913,26.625,0.0,1.0,27.4706,26.625,27.469,93500.0
2000-01-05,13.4216,27.297,0.0,1.0,27.422,26.859,27.219,273400.0
2000-01-06,13.3986,27.25,0.0,1.0,27.25,26.938,27.25,34500.0
2000-01-07,13.5138,27.484,0.0,1.0,27.484,27.172,27.297,46200.0
2000-01-10,13.5599,27.578,0.0,1.0,27.656,27.422,27.469,15500.0
2000-01-11,13.4139,27.281,0.0,1.0,27.453,27.078,27.4533,25700.0
2000-01-12,13.2756,27.0,0.0,1.0,27.219,26.859,26.859,36700.0
2000-01-13,13.1527,26.75,0.0,1.0,27.25,26.734,27.25,139600.0
2000-01-14,13.2603,26.969,0.0,1.0,26.969,26.656,26.781,45700.0
2000-01-18,13.2065,26.859,0.0,1.0,27.281,26.859,26.938,46000.0
2000-01-19,13.2142,26.875,0.0,1.0,27.047,26.781,26.781,26000.0
2000-01-20,13.2756,27.0,0.0,1.0,27.156,26.8585,26.922,112500.0
2000-01-21,13.7059,27.875,0.0,1.0,27.906,27.375,27.563,201100.0
2000-01-24,13.5215,27.5,0.0,1.0,27.938,27.5,27.938,64300.0
2000-01-25,13.2065,26.859,0.0,1.0,27.4716,26.625,27.156,56900.0
2000-01-26,13.145,26.734,0.0,1.0,26.953,26.656,26.797,31400.0
2000-01-27,13.0605,26.563,0.0,1.0,26.938,26.5626,26.813,18700.0
2000-01-28,12.9914,26.422,0.0,1.0,26.625,26.234,26.531,28400.0
2000-01-31,13.5906,27.641,0.0,1.0,27.641,26.234,26.266,414800.0
2000-02-01,13.4908,27.438,0.0,1.0,27.594,27.313,27.594,23200.0
2000-02-02,13.4216,27.297,0.0,1.0,27.547,27.297,27.5,14500.0
2000-02-03,13.3986,27.25,0.0,1.0,27.609,27.188,27.328,96100.0
2000-02-04,13.3294,27.109,0.0,1.0,27.5,27.109,27.5,19300.0
2000-02-07,13.291,27.031,0.0,1.0,27.125,26.906,26.984,23000.0
2000-02-08,13.3217,27.094,0.0,1.0,27.5,27.094,27.359,32600.0
2000-02-09,13.3217,27.094,0.0,1.0,27.25,26.969,27.156,16300.0
2000-02-10,13.1297,26.703,0.0,1.0,27.047,26.688,26.7814,83200.0
2000-02-11,12.8992,26.234,0.0,1.0,26.719,26.109,26.719,92500.0
2000-02-14,12.9146,26.266,0.0,1.0,26.422,26.125,26.234,11600.0
2000-02-15,12.8838,26.203,0.0,1.0,26.313,26.094,26.219,26100.0
2000-02-16,12.83,26.094,0.0,1.0,26.266,25.953,26.141,154000.0
2000-02-17,12.7532,25.938,0.0,1.0,26.078,25.875,26.078,10700.0
2000-02-18,12.2846,24.984,0.0,1.0,25.688,24.969,25.688,14900.0
2000-02-22,12.2385,24.891,0.0,1.0,25.078,24.766,25.063,32000.0
2000-02-23,11.985,24.375,0.0,1.0,24.938,24.266,24.938,51900.0
2000-02-24,11.5855,23.563,0.0,1.0,25.5,23.375,24.547,104700.0
2000-02-25,11.524,23.438,0.0,1.0,23.938,23.438,23.641,7400.0
2000-02-28,11.8543,24.109,0.0,1.0,24.328,23.375,23.516,195500.0
2000-02-29,11.9389,24.281,0.0,1.0,24.313,24.031,24.141,9100.0
2000-03-01,12.4613,25.344,0.0,1.0,25.422,25.141,25.156,46100.0
2000-03-02,12.784,26.0,0.0,1.0,26.125,25.594,25.594,105600.0
2000-03-03,12.8992,26.234,0.0,1.0,26.609,26.234,26.516,45600.0
2000-03-06,12.5381,25.5,0.0,1.0,25.906,25.5021,25.906,79200.0
2000-03-07,12.3921,25.203,0.0,1.0,26.047,25.047,25.906,81900.0
2000-03-08,12.4766,25.375,0.0,1.0,25.922,24.922,24.922,24900.0
2000-03-09,12.5765,25.578,0.0,1.0,25.672,25.141,25.141,156700.0
2000-03-10,12.5765,25.578,0.0,1.0,25.859,25.375,25.547,22600.0
2000-03-13,12.6149,25.656,0.0,1.0,25.75,25.156,25.156,186200.0
2000-03-14,12.5304,25.484,0.0,1.0,25.625,25.25,25.422,170000.0
2000-03-15,12.5996,25.625,0.0,1.0,25.953,25.219,25.25,213500.0
2000-03-16,13.0913,26.844,0.0,1.0,27.095,26.047,26.094,53000.0
2000-03-17,13.1966,26.641,0.197,1.0,27.094,26.563,26.656,62800.0
2000-03-20,13.1424,26.531,0.0,1.0,26.813,26.375,26.75,61300.0
2000-03-21,13.0573,26.359,0.0,1.0,26.594,26.203,26.313,89700.0
2000-03-22,12.7554,25.75,0.0,1.0,26.313,25.656,26.125,48500.0
2000-03-23,12.9721,26.188,0.0,1.0,26.281,25.703,25.938,7100.0
2000-03-24,12.8483,25.938,0.0,1.0,26.391,25.875,26.391,24300.0
2000-03-27,13.0263,26.297,0.0,1.0,26.344,26.094,26.094,33000.0
